symbol,organ_name
TCB,Ngân hàng TMCP Kỹ thương Việt Nam
VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel
VKP,CTCP Nhựa Tân Hóa
AGM,CTCP Xuất Nhập khẩu An Giang
BKC,CTCP Khoáng sản Bắc Kạn
VGS,CTCP Ống thép Việt - Đức VG PIPE
POB,CTCP Xăng dầu Dầu khí Hưng Yên
VNG,CTCP Du lịch Thành Thành Công
PVL,CTCP Địa ốc Dầu khí
ACE,CTCP Bê tông Ly tâm An Giang
IDC,Tổng Công ty IDICO - CTCP
VLG,CTCP VIMC Logistics
TRV,CTCP Vận tải Đường sắt
PVO,CTCP Dầu nhờn PV Oil
GTD,CTCP Giầy Thượng Đình
NTT,CTCP Dệt - May Nha Trang
BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân"
IJC,CTCP Phát triển Hạ tầng Kỹ thuật
KOS,CTCP KOSY
CCM,CTCP khoáng sản và Xi măng Cần Thơ
THT,CTCP Than Hà Tu - Vinacomin
MGC,CTCP Địa chất mỏ - TKV
VMT,CTCP Giao nhận Vận tải miền Trung
MHC,CTCP MHC
VTD,CTCP Vietourist Holdings
LMH,CTCP Quốc Tế Holding
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex
SBT,CTCP Thành Thành Công - Biên Hòa
LLM,Tổng Công ty Lắp máy Việt Nam - CTCP
TMW,CTCP Tổng hợp Gỗ Tân Mai
NBW,CTCP Cấp nước Nhà Bè
HPO,CTCP Công nghiệp Hapulico
KSQ,CTCP CNC Capital Việt Nam
BTU,CTCP Công trình Đô thị Bến Tre
HSV,CTCP Tập đoàn HSV Việt Nam
VXT,CTCP Kho vận và Dịch vụ Thương mại
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí
ANV,CTCP Nam Việt
TNV,CTCP Thống Nhất Hà Nội
CST,CTCP Than Cao Sơn - TKV
HVX,CTCP Xi măng VICEM Hải Vân
TAW,CTCP Cấp nước Trung An
NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2
MWG,CTCP Đầu tư Thế giới Di động
WSS,CTCP Chứng khoán Phố Wall
HWS,CTCP Cấp nước Huế
CFV,CTCP Cà phê Thắng Lợi
TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam
SSN,CTCP Xuất nhập khẩu Thủy sản Sài Gòn
TNG,CTCP Đầu tư và Thương mại TNG
SJM,CTCP Sunspace Holdings
GEX,CTCP Tập đoàn GELEX
FOX,CTCP Viễn thông FPT
HDW,CTCP Kinh doanh Nước sạch Hải Dương
MDA,CTCP Môi trường Đô thị Đông Anh
IDP,CTCP Sữa Quốc tế Lof
