symbol,current_room,total_room,room_pct,fetch_time
ACB,281104042,1540996979,18.24,2026-06-16 12:41
ANV,121114996,130667075,92.69,2026-06-16 12:41
BAF,142595706,152010821,93.81,2026-06-16 12:41
BCM,343417905,351900000,97.59,2026-06-16 12:41
BID,904328843,2184019563,41.41,2026-06-16 12:41
BMP,15821020,81860938,19.33,2026-06-16 12:41
BSI,158153721,245365943,64.46,2026-06-16 12:41
BSR,2378960360,2453576846,96.96,2026-06-16 12:41
BVH,162167960,363738154,44.58,2026-06-16 12:41
BWE,102406257,107765035,95.03,2026-06-16 12:41
CII,242647579,268794116,90.27,2026-06-16 12:41
CMG,31104424,116477304,26.7,2026-06-16 12:41
CTD,4320278,55872968,7.73,2026-06-16 12:41
CTG,395626748,2330083391,16.98,2026-06-16 12:41
CTR,50376981,56049080,89.88,2026-06-16 12:41
CTS,102508645,104219784,98.36,2026-06-16 12:41
DBC,183017206,188584666,97.05,2026-06-16 12:41
DCM,212494324,259406000,81.92,2026-06-16 12:41
DGW,57226937,108446882,52.77,2026-06-16 12:41
DIG,377038336,390251283,96.61,2026-06-16 12:41
DPM,309889213,339995380,91.15,2026-06-16 12:41
DSE,382373721,428249806,89.29,2026-06-16 12:41
DXG,335764279,557065837,60.27,2026-06-16 12:41
DXS,249669088,289551562,86.23,2026-06-16 12:41
EIB,512434061,560090574,91.49,2026-06-16 12:41
EVF,110999373,114084870,97.3,2026-06-16 12:41
FPT,334374901,834718489,40.06,2026-06-16 12:41
FRT,30241032,83447874,36.24,2026-06-16 12:41
FTS,260356106,346498009,75.14,2026-06-16 12:41
GAS,1132302967,1182345380,95.77,2026-06-16 12:41
GEE,313278227,320249605,97.82,2026-06-16 12:41
GEX,552298983,654235679,84.42,2026-06-16 12:41
GMD,32397058,208982603,15.5,2026-06-16 12:41
GVR,495260088,520000000,95.24,2026-06-16 12:41
HAG,596968304,621059294,96.12,2026-06-16 12:41
HCM,160119503,529590573,30.23,2026-06-16 12:41
HDB,273844976,1351424607,20.26,2026-06-16 12:41
HDC,94779190,97879739,96.83,2026-06-16 12:41
HDG,120559290,184981517,65.17,2026-06-16 12:41
HHV,212763068,268111485,79.36,2026-06-16 12:41
HPG,2105518403,3760978268,55.98,2026-06-16 12:41
HSG,367224172,395558724,92.84,2026-06-16 12:41
HT1,179189305,186979056,95.83,2026-06-16 12:41
IMP,8050297,120091737,6.7,2026-06-16 12:41
KBC,384486112,461459831,83.32,2026-06-16 12:41
KDC,103079618,144903158,71.14,2026-06-16 12:41
KDH,276474243,561107449,49.27,2026-06-16 12:41
KOS,105822894,106075854,99.76,2026-06-16 12:41
LPB,117554796,149364105,78.7,2026-06-16 12:41
MBB,62964542,1871587283,3.36,2026-06-16 12:41
MSB,704803173,936000000,75.3,2026-06-16 12:41
MSN,1143701647,1520491927,75.22,2026-06-16 12:41
MWG,0,720149656,0.0,2026-06-16 12:41
NAB,596411230,617646684,96.56,2026-06-16 12:41
NKG,203229322,223785440,90.81,2026-06-16 12:41
NLG,47133287,242548691,19.43,2026-06-16 12:41
NT2,110196547,141059254,78.12,2026-06-16 12:41
NVL,983071061,1094903272,89.79,2026-06-16 12:41
OCB,63004651,585871502,10.75,2026-06-16 12:41
PAN,58325306,105984344,55.03,2026-06-16 12:41
PC1,167252011,205642671,81.33,2026-06-16 12:41
PDR,437410157,498904689,87.67,2026-06-16 12:41
PHR,49130141,66394607,74.0,2026-06-16 12:41
PLX,77348109,258775616,29.89,2026-06-16 12:41
PNJ,4781980,250826843,1.91,2026-06-16 12:41
POW,1398959381,1533922844,91.2,2026-06-16 12:41
PVD,230263732,278148003,82.78,2026-06-16 12:41
PVT,167988439,230266305,72.95,2026-06-16 12:41
REE,0,305220527,0.0,2026-06-16 12:41
SAB,530359536,1282562372,41.35,2026-06-16 12:41
SBT,745447637,928026375,80.33,2026-06-16 12:41
SCS,20669112,30623094,67.5,2026-06-16 12:41
SHB,1234875255,1438260007,85.86,2026-06-16 12:41
SIP,112985923,118635342,95.24,2026-06-16 12:41
SJS,147039526,148737414,98.86,2026-06-16 12:41
SSB,847852700,853500000,99.34,2026-06-16 12:41
SSI,1703239706,2493089220,68.32,2026-06-16 12:41
STB,343163153,565564714,60.68,2026-06-16 12:41
SZC,33681916,35997172,93.57,2026-06-16 12:41
TCB,33772996,1597139381,2.11,2026-06-16 12:41
TCH,361157105,465175704,77.64,2026-06-16 12:41
TPB,175428748,832214061,21.08,2026-06-16 12:41
VCB,811878155,2506702528,32.39,2026-06-16 12:41
VCG,304787768,316769484,96.22,2026-06-16 12:41
VCI,937386543,1147631925,81.68,2026-06-16 12:41
VGC,215323900,219691500,98.01,2026-06-16 12:41
VHC,169085127,209453159,80.73,2026-06-16 12:41
VHM,1744398962,2053706002,84.94,2026-06-16 12:41
VIB,19628138,169859884,11.56,2026-06-16 12:41
VIC,3472430082,3713436895,93.51,2026-06-16 12:41
VIX,2255031490,2450287772,92.03,2026-06-16 12:41
VJC,139483233,177483400,78.59,2026-06-16 12:41
VND,1404549890,1522299908,92.26,2026-06-16 12:41
VNM,1069788943,2089955445,51.19,2026-06-16 12:41
VPB,458227725,2380177080,19.25,2026-06-16 12:41
VPI,124458576,156824292,79.36,2026-06-16 12:41
VPL,846629349,878717184,96.35,2026-06-16 12:41
VRE,856347226,1141121020,75.04,2026-06-16 12:41
VSC,178880669,183441477,97.51,2026-06-16 12:41
VTP,77411035,84294650,91.83,2026-06-16 12:41
