symbol,score,rank,sector,week_of,data_date,rolling_ic,topk_used,realized_ret,realized_date,weight_pct
BVH,0.023638921342159,1,insurance,2026-06-08,2026-06-08,0.06,6,,,21.7
VTP,0.0225958050315416,2,Other,2026-06-08,2026-06-08,0.06,6,,,17.6
VNM,0.0225958050315416,3,consumer,2026-06-08,2026-06-08,0.06,6,,,17.6
NLG,0.0219619567149569,4,realestate,2026-06-08,2026-06-08,0.06,6,,,15.5
PVT,0.0214655045510837,5,transport,2026-06-08,2026-06-08,0.06,6,,,14.0
NKG,0.0213510470906185,6,Other,2026-06-08,2026-06-08,0.06,6,,,13.7
VPL,0.14578756955790553,1,Other,2026-06-15,2026-06-16,0.06,6,,,25.0
VRE,0.07511312937143329,2,realestate,2026-06-15,2026-06-16,0.06,6,,,18.5
VCB,0.0738153433675818,3,bank,2026-06-15,2026-06-16,0.06,6,,,17.5
PLX,0.06852822591232728,4,retail,2026-06-15,2026-06-16,0.06,6,,,13.3
HAG,0.06852362989372503,5,Other,2026-06-15,2026-06-16,0.06,6,,,13.3
BID,0.06753639022972731,6,bank,2026-06-15,2026-06-16,0.06,6,,,12.5
