date,action,symbol,shares,price,amount
2024-01-02,BUY,HPG,10765500,18.549999237060547,199999566.8117552
2024-01-02,BUY,ACB,11637500,17.15999984741211,199999047.4715948
2024-01-02,BUY,SHB,25119500,7.949999809265137,199999570.23914886
2024-01-02,BUY,STB,7196400,27.75,199999650.15000004
2024-01-02,BUY,MBB,16614000,12.020000457763672,199999838.0366936
2024-01-03,SELL,HPG,10765500,18.780000686645508,201872833.2459941
2024-01-03,SELL,SHB,25119500,8.170000076293945,204918477.44109106
2024-01-04,SELL,STB,7196400,28.600000381469727,205508317.18109095
2024-01-04,SELL,MBB,16614000,12.819999694824219,212671987.71741486
2024-01-05,BUY,MWG,2367500,42.88999938964844,101694386.66532516
2024-01-05,BUY,SSI,4281000,23.719999313354492,101697635.03606129
2024-01-05,BUY,TPB,7823200,12.979999542236328,101697450.11745147
2024-01-05,BUY,MBB,7769400,13.069999694824219,101698374.71241073
2024-01-08,SELL,MWG,2367500,42.25,99876834.6875
2024-01-08,SELL,TPB,7823200,12.949999809265137,101158472.85008126
2024-01-08,BUY,BID,5502800,37.939998626708984,209089388.77971882
2024-01-08,BUY,CTG,10294800,20.280000686645508,209091718.8954815
2024-01-09,SELL,BID,5502800,37.650001525878906,206869657.75401154
2024-01-09,BUY,HPG,200,18.709999084472656,3747.6128166198732
2024-01-10,SELL,HPG,200,18.479999542236328,3690.455908584595
2024-01-10,SELL,SSI,4281000,23.399999618530273,100025135.26937771
2024-01-10,BUY,TCB,6304500,15.920000076293945,100518191.94171667
2024-01-10,BUY,TPB,7523800,13.34000015258789,100518044.38776284
2024-01-11,SELL,ACB,11637500,17.729999542236328,206023370.3682661
2024-01-11,SELL,TPB,7523800,13.34000015258789,100216941.90831871
2024-01-11,BUY,VIB,7555200,13.670000076293945,103434503.95328064
2024-01-11,BUY,BID,2716400,38.02000045776367,103432445.53733444
2024-01-12,SELL,BID,2716400,37.61000061035156,102010559.94947205
2024-01-12,BUY,ACB,5515200,18.110000610351562,100030095.77926025
2024-01-15,SELL,VIB,7555200,13.699999809265137,103350979.20112152
2024-01-15,SELL,CTG,10294800,21.549999237060547,221520152.7474724
2024-01-15,BUY,HDB,11788100,12.970000267028809,153120997.63798395
2024-01-15,BUY,SHB,17334600,8.819999694824219,153120503.45996475
2024-01-16,SELL,TCB,6304500,15.800000190734863,99461684.55068421
2024-01-16,BUY,VIB,7333200,13.890000343322754,102010937.74343091
2024-01-18,SELL,VIB,7333200,13.829999923706055,101266028.20736046
2024-01-18,SELL,SHB,17334600,8.75,151450233.375
2024-01-18,BUY,TCB,13307000,15.920000076293945,212165212.1767664
