date,action,symbol,shares,price,amount
2024-01-02,BUY,VJC,933100,107.0,99991462.55000001
2024-01-02,BUY,HPG,5382700,18.549999237060547,99998854.5146658
2024-01-02,BUY,SSI,4424000,22.56999969482422,99999453.16787721
2024-01-02,BUY,BID,2839800,35.15999984741211,99997138.61803094
2024-01-02,BUY,FPT,1442000,69.23999786376953,99993843.03493501
2024-01-02,BUY,PLX,3103800,32.16999816894531,99999014.17724763
2024-01-02,BUY,TPB,8000800,12.479999542236328,99999755.3080307
2024-01-02,BUY,MWG,2404800,41.52000045776367,99997068.04648133
2024-01-02,BUY,VIC,4538600,22.0,99998973.80000001
2024-01-03,SELL,BID,2839800,35.810001373291016,101540702.03702202
2024-01-03,BUY,SSB,2932300,17.030000686645508,50011976.6199708
2024-01-04,SELL,SSB,2932300,17.209999084472656,50389182.99492607
2024-01-04,SELL,HPG,5382700,18.75,100774236.5625
2024-01-04,SELL,SSI,4424000,23.34000015258789,103101276.43403625
2024-01-04,SELL,TPB,8000800,12.90999984741211,103135391.28900605
2024-01-04,SELL,MWG,2404800,42.25,101450395.80000001
2024-01-04,SELL,VIC,4538600,22.079999923706055,100061969.22225171
2024-01-04,BUY,MBB,556400,12.819999694824219,7143747.401945496
2024-01-04,BUY,BID,199800,35.689998626708984,7141558.01820488
2024-01-04,BUY,VRE,304800,23.399999618530273,7143018.36355362
2024-01-04,BUY,ACB,401600,17.760000228881836,7143114.716056825
2024-01-04,BUY,GAS,108400,65.7699966430664,7140161.837562562
2024-01-04,BUY,VNM,118200,60.349998474121094,7144069.874370575
2024-01-05,SELL,VRE,304800,23.350000381469727,7106404.496097565
2024-01-05,SELL,ACB,401600,17.8700008392334,7165827.448530579
2024-01-05,SELL,BID,199800,36.380001068115234,7257821.12708931
2024-01-05,SELL,MBB,556400,13.069999694824219,7261239.608454895
2024-01-05,BUY,SSB,1258300,17.25,21738233.5125
2024-01-05,BUY,HPG,1155800,18.780000686645508,21738483.680815317
2024-01-05,BUY,SSI,915100,23.719999313354492,21738730.628708173
2024-01-05,BUY,VIC,984400,22.049999237060547,21738578.27783585
2024-01-08,SELL,SSI,915100,23.68000030517578,21637063.926847458
2024-01-08,SELL,GAS,108400,65.8499984741211,7127432.624842835
2024-01-08,SELL,HPG,1155800,18.81999969482422,21719527.413806915
2024-01-08,SELL,PLX,3103800,32.869998931884766,101868869.83075677
2024-01-08,BUY,MWG,2744500,42.25,116129057.6875
2024-01-08,BUY,MSN,1741000,66.5999984741211,116124523.23946
2024-01-08,BUY,GVR,5521700,21.0,116129633.55000001
2024-01-08,BUY,ACB,6514400,17.799999237060547,116130249.50245209
2024-01-09,SELL,VJC,933100,106.5,99226087.275
2024-01-09,SELL,VNM,118200,59.560001373291016,7029432.174079514
2024-01-09,SELL,MSN,1741000,66.0999984741211,114907477.19742966
2024-01-09,SELL,GVR,5521700,20.899999618530273,115230422.60179816
2024-01-09,BUY,HPG,1546900,18.709999084472656,28985911.33014641
2024-01-09,BUY,BID,768700,37.650001525878906,28984968.507202532
2024-01-09,BUY,PLX,897100,32.2599983215332,28983855.16098881
2024-01-09,BUY,VRE,1239500,23.350000381469727,28985738.961040974
2024-01-10,SELL,SSB,1258300,17.100000381469727,21484655.084283352
2024-01-10,SELL,HPG,1546900,18.479999542236328,28543831.22494755
2024-01-10,SELL,FPT,1442000,68.37000274658203,98441659.64463043
2024-01-10,SELL,PLX,897100,32.45000076293945,29067229.340906337
2024-01-10,SELL,VRE,1239500,23.299999237060547,28837028.530755043
2024-01-10,BUY,STB,1024700,29.450000762939453,30222681.905456733
2024-01-10,BUY,SSI,1289700,23.399999618530273,30224247.977280524
2024-01-10,BUY,MBB,2263900,13.329999923706055,30223053.507519055
2024-01-10,BUY,CTG,1418800,21.270000457763672,30223143.46444931
2024-01-10,BUY,MSN,455800,66.19999694824219,30219219.546922304
2024-01-11,SELL,STB,1024700,29.5,30183307.025000002
2024-01-11,SELL,SSI,1289700,23.540000915527344,30313999.87198448
2024-01-11,SELL,CTG,1418800,21.270000457763672,30132609.834500886
2024-01-11,SELL,MWG,2744500,41.52000045776367,113780713.7944479
2024-01-11,SELL,MSN,455800,66.0999984741211,30083186.73554764
2024-01-11,BUY,VJC,576600,105.80000305175781,61095788.18228302
2024-01-11,BUY,VHM,1452600,42.0,61100713.800000004
2024-01-11,BUY,HPG,3283800,18.579999923706055,61104523.25509015
2024-01-11,BUY,TCB,3861500,15.800000190734863,61103218.287627466
2024-01-11,BUY,FPT,889500,68.58999633789062,61102317.94516754
2024-01-11,BUY,VNM,1027300,59.38999938964844,61102863.39254532
2024-01-12,SELL,VJC,576600,105.30000305175781,60624907.78700409
2024-01-12,SELL,VHM,1452600,41.29999923706055,59902390.32341652
2024-01-12,SELL,FPT,889500,68.37000274658203,60723894.76692009
2024-01-12,SELL,VIC,984400,21.5,21132853.1
2024-01-12,SELL,VNM,1027300,58.779998779296875,60294115.70685273
2024-01-12,BUY,CTG,1906400,21.6200008392334,41278194.15431443
2024-01-12,BUY,PLX,1266600,32.540000915527344,41276987.907346345
2024-01-12,BUY,MSN,636000,64.80000305175781,41274621.14382935
2024-01-12,BUY,HDB,3192600,12.90999984741211,41278290.21111717
2024-01-15,SELL,CTG,1906400,21.549999237060547,41021294.16771393
2024-01-15,SELL,MSN,636000,65.5999984741211,41659016.630996704
2024-01-15,BUY,VPB,5221100,17.579999923706055,91924618.00806418
2024-01-15,BUY,SSI,4004700,22.920000076293945,91925405.89199267
2024-01-15,BUY,VIC,4265200,21.520000457763672,91924786.6113823
2024-01-16,SELL,SSI,4004700,23.270000457763672,93049586.77695638
2024-01-16,SELL,HPG,3283800,18.780000686645508,61577261.605424315
2024-01-16,SELL,VPB,5221100,17.65999984741211,92066318.26551838
2024-01-16,SELL,PLX,1266600,32.36000061035156,40925696.00791168
2024-01-16,SELL,VIC,4265200,21.579999923706055,91904951.15107918
2024-01-16,BUY,SSB,3128000,16.770000457763672,52535246.27403259
2024-01-16,BUY,VJC,497600,105.4000015258789,52525711.32041626
2024-01-16,BUY,CTG,2434200,21.549999237060547,52535693.655067064
2024-01-16,BUY,VIB,3776600,13.890000343322754,52535660.75953761
2024-01-17,SELL,HDB,3192600,12.880000114440918,41059007.33281603
2024-01-17,SELL,SSB,3128000,16.850000381469727,52627740.99144745
2024-01-17,SELL,VJC,497600,104.5999984741211,51970885.80186158
2024-01-17,BUY,MSN,509100,66.30000305175781,33803961.550980374
2024-01-17,BUY,VHM,805600,41.900001525878906,33805273.19109192
2024-01-17,BUY,HPG,1807100,18.68000030517578,33807263.49431038
2024-01-17,BUY,PLX,1049300,32.16999816894531,33806613.04729234
2024-01-18,SELL,VHM,805600,43.20000076293945,34749717.733702086
2024-01-18,SELL,TCB,3861500,15.920000076293945,61382867.674167156
2024-01-18,SELL,CTG,2434200,21.6200008392334,52548464.93379765
2024-01-18,SELL,ACB,6514400,17.969999313354492,116888167.88162613
2024-01-18,SELL,VIB,3776600,13.829999923706055,52152032.145300485
2024-01-18,BUY,VJC,726600,104.30000305175781,75898058.79073334
2024-01-18,BUY,SSI,3227900,23.479999542236328,75904777.15816823
2024-01-18,BUY,FPT,1098100,69.0199966430664,75904544.60122184
2024-01-18,BUY,GVR,3677400,20.610000610351562,75904903.0688736
2024-01-19,SELL,BID,768700,40.7599983215332,31285212.393697932
2024-01-19,SELL,MSN,509100,67.80000305175781,34465206.08131943
2024-01-19,SELL,GVR,3677400,20.809999465942383,76411901.99800244
