date,action,symbol,shares,price,amount
2024-01-02,BUY,HPG,10765500,18.549999237060547,199999566.8117552
2024-01-02,BUY,VIC,9077200,22.0,199997947.60000002
2024-01-02,BUY,SSI,8848000,22.56999969482422,199998906.33575442
2024-01-02,BUY,BID,5679700,35.15999984741211,199997798.5100466
2024-01-02,BUY,VJC,1866300,107.0,199993641.15000004
2024-01-03,SELL,SSI,8848000,22.8799991607666,202138569.2256012
2024-01-03,SELL,BID,5679700,35.810001373291016,203084979.70268118
2024-01-03,SELL,VIC,9077200,22.079999923706055,200123938.44450343
2024-01-03,SELL,HPG,10765500,18.780000686645508,201872833.2459941
2024-01-03,BUY,SSB,100,17.030000686645508,1705.5545687675476
2024-01-04,SELL,SSB,100,17.209999084472656,1718.4184085845948
2024-01-04,SELL,VJC,1866300,107.80000305175781,200885364.97695237
2024-01-04,BUY,ACB,100,17.760000228881836,1778.664022922516
2024-01-04,BUY,MBB,100,12.819999694824219,1283.9229694366456
2024-01-05,SELL,MBB,100,13.069999694824219,1305.0394695281984
2024-01-05,SELL,ACB,100,17.8700008392334,1784.319583797455
2024-01-05,BUY,FPT,2292400,70.31999969482422,161443369.65136567
2024-01-05,BUY,SSB,9345100,17.25,161444779.4625
2024-01-05,BUY,PLX,4917700,32.779998779296875,161444003.2969437
2024-01-05,BUY,VNM,2678600,60.18000030517578,161439946.04067
2024-01-08,SELL,FPT,2292400,70.25,160799538.35
2024-01-08,SELL,PLX,4917700,32.869998931884766,161402326.55670872
2024-01-08,BUY,MWG,2854400,42.25,120779297.60000001
2024-01-08,BUY,VJC,1131300,106.5999984741211,120777473.14118387
2024-01-08,BUY,ACB,6775200,17.799999237060547,120779452.66317901
2024-01-09,SELL,MWG,2854400,41.7599983215332,119020939.60017091
2024-01-09,SELL,SSB,9345100,17.139999389648438,159934745.78375933
2024-01-09,SELL,VNM,2678600,59.560001373291016,159298113.54897958
2024-01-09,SELL,VJC,1131300,106.5,120302724.825
2024-01-09,BUY,VRE,100,23.350000381469727,2338.502538204193
2024-01-09,BUY,VIC,100,21.950000762939453,2198.292576408386
2024-01-10,SELL,VRE,100,23.299999237060547,2326.5049238204956
2024-01-10,SELL,VIC,100,21.799999237060547,2176.7299238204955
2024-01-10,BUY,STB,2731100,29.450000762939453,80551543.42928945
2024-01-10,BUY,MBB,6033800,13.329999923706055,80551199.36996709
2024-01-10,BUY,BID,2075600,38.75,80550144.25000001
2024-01-10,BUY,CTG,3781400,21.270000457763672,80551025.30058403
2024-01-11,SELL,CTG,3781400,21.270000457763672,80309734.16139106
2024-01-11,SELL,STB,2731100,29.5,80446598.825
2024-01-11,BUY,TCB,17649400,15.800000190734863,279278814.15140545
2024-01-11,BUY,HPG,15008600,18.579999923706055,279278076.5352171
2024-01-12,SELL,HPG,15008600,18.34000015258789,274844839.70069546
2024-01-12,BUY,CTG,300,21.6200008392334,6495.729252147676
2024-01-15,SELL,CTG,300,21.549999237060547,6455.302271461487
2024-01-15,SELL,MBB,6033800,13.680000305175781,82418572.26260757
2024-01-15,BUY,VIC,3729400,21.520000457763672,80377074.74174462
2024-01-15,BUY,HPG,4383200,18.309999465942383,80376774.24360734
2024-01-16,SELL,TCB,17649400,15.800000190734863,278442232.5813064
2024-01-16,SELL,VIC,3729400,21.579999923706055,80359731.03789616
2024-01-16,SELL,HPG,4383200,18.780000686645508,82193024.26119004
2024-01-16,BUY,SSB,5454900,16.770000457763672,91615893.51030064
2024-01-16,BUY,HDB,7053100,12.970000267028809,91615926.94670597
2024-01-16,BUY,VJC,867900,105.4000015258789,91613876.31629677
2024-01-17,SELL,SSB,5454900,16.850000381469727,91777194.4802579
2024-01-17,SELL,HDB,7053100,12.880000114440918,90707662.9139525
2024-01-17,SELL,VJC,867900,104.5999984741211,90646165.16767617
2024-01-17,BUY,TCB,1741800,15.75,27474500.025000002
2024-01-17,BUY,MBB,2001000,13.710000038146973,27474860.64144659
2024-01-17,BUY,VIB,1983700,13.829999923706055,27475722.704928685
2024-01-18,SELL,TCB,1741800,15.920000076293945,27687861.94868946
2024-01-18,SELL,ACB,6775200,17.969999313354492,121567713.8388176
2024-01-18,SELL,MBB,2001000,13.84000015258789,27652299.544870377
2024-01-18,SELL,VIB,1983700,13.829999923706055,27393418.99238272
2024-01-18,BUY,SSI,4688400,23.479999542236328,110248755.29860154
2024-01-18,BUY,GVR,5341200,20.610000610351562,110247258.46289977
2024-01-18,BUY,MSN,1657800,66.4000015258789,110243039.41339646
2024-01-18,BUY,PLX,3427200,32.119998931884766,110246782.8298645
2024-01-19,SELL,GVR,5341200,20.809999465942383,110983643.59377022
2024-01-19,SELL,MSN,1657800,67.80000305175781,112230246.7916153
2024-01-19,SELL,BID,2075600,40.7599983215332,84474550.33740006
2024-01-19,BUY,FPT,1307500,69.52999877929688,91046839.11403657
2024-01-19,BUY,MBB,6465900,14.0600004196167,91046922.54826942
2024-01-22,SELL,SSI,4688400,23.579999923706055,110386642.93484002
2024-01-22,SELL,PLX,3427200,32.36000061035156,110737837.80065918
2024-01-22,BUY,TCB,6079300,16.170000076293945,98449734.8860095
2024-01-22,BUY,VCB,1608800,61.099998474121094,98445124.06148377
2024-01-22,BUY,VIB,7006500,14.029999732971191,98448644.91875625
2024-01-23,SELL,TCB,6079300,16.399999618530273,99550966.9044097
2024-01-23,SELL,FPT,1307500,69.0199966430664,90108280.14239311
2024-01-23,SELL,VCB,1608800,60.7599983215332,97604059.2717331
2024-01-23,BUY,VHM,2418200,42.349998474121094,102564382.45958482
2024-01-23,BUY,CTG,4633900,22.100000381469727,102562805.55534412
2024-01-23,BUY,ACB,5599300,18.290000915527344,102564818.92950173
2024-01-24,SELL,VHM,2418200,42.5,102619339.75
2024-01-24,SELL,ACB,5599300,18.110000610351562,101251221.4279152
2024-01-24,BUY,TCB,6768700,16.309999465942383,110563089.62520191
2024-01-24,BUY,VCB,1824700,60.5,110559941.525
2024-01-25,SELL,VIB,7006500,13.699999809265137,95845065.09062076
2024-01-25,SELL,VCB,1824700,60.43000030517578,110101221.62451898
2024-01-25,SELL,CTG,4633900,21.989999771118164,101746610.74947539
2024-01-25,BUY,VPB,5356400,17.850000381469727,95755159.6563694
2024-01-25,BUY,FPT,1392500,68.66000366210938,95752468.68213654
2024-01-25,BUY,PLX,2976700,32.119998931884766,95755018.2217722
